group,value
CR,10.58548191813296
CR,13.899368850774904
CR,13.56180269646483
CR,9.224232308030832
CR,9.755076222233882
CR,9.181539517416438
CR,11.9243158939299
CR,10.359838902385956
CR,12.36721404064136
CR,5.881688002564726
CR,14.416371936748801
CR,10.258919599610948
CR,12.200946133185365
CR,10.158584165057931
CR,9.552253582312867
CR,11.657775396493967
CR,12.561283818825283
CR,9.993675323266372
CR,10.118034553574507
CR,12.214246527023144
CR,8.324148395132072
CR,6.714041240671511
CR,11.487454656873824
CR,8.8235854407803
CR,5.6991485247049285
CR,8.464865840136602
CR,9.331006102768132
CR,7.516993806419347
CR,6.768840289842416
CR,10.591594567362012
CR,12.74312314181937
CR,9.917169805098858
CR,8.641009926227888
CR,11.46248452186977
CR,12.29308951798596
CR,9.749973503778806
CR,11.861669519802232
CR,13.107188691457385
CR,9.98260890947919
CR,8.466211145046069
CR,11.369126496288773
CR,11.118864352407119
CR,13.24703192103602
CR,7.288548052986638
CR,8.845967674111131
CR,8.404582598210814
CR,6.164962884417871
CR,10.81608638799249
CR,11.81951053123881
CR,8.653024921310484
CR,13.964117686240396
CR,12.554810841651088
CR,12.068441197088838
CR,11.504267728602425
CR,12.889173911121588
CR,7.170050401142245
CR,12.034824145624661
CR,12.00694208383362
CR,6.080703557142563
CR,11.36757525513595
PF,16.748735959870096
PF,19.8445680881851
PF,16.182813437086995
PF,17.445277427052698
PF,18.528554551952965
PF,14.871214933767376
PF,19.295789944541152
PF,17.185110434428996
PF,18.97744787103773
PF,15.934487480989636
PF,20.758604629832554
PF,19.315605935288424
PF,16.96592492584199
PF,19.39587147128083
PF,21.279265484075875
PF,22.873526540493966
PF,12.779270888679342
PF,20.149395434867557
PF,18.895205525540145
PF,17.218417659440966
PF,14.480005195068786
PF,21.27156584041943
PF,13.714786019666288
PF,19.200836397204245
PF,21.405603988608068
PF,12.700992135845562
PF,16.59244647855021
PF,13.572349547451102
PF,18.2321623241077
PF,22.043125392023963
PF,23.570668087516594
PF,12.165656671349454
PF,15.77515298283682
PF,19.610635279992735
PF,22.238117956279666
PF,18.763631932834894
PF,15.261544007227872
PF,18.391394528912315
PF,17.4501423970575
PF,16.88877783283549
PF,15.29658670435774
PF,18.661779267829015
PF,18.42363887909743
PF,17.221047617270948
PF,16.83493618089799
PF,13.645250288380982
PF,16.0414729985757
PF,21.119349014039926
PF,16.928325229401914
PF,13.180908049485623
PF,21.503328420853947
PF,19.09079622544876
PF,23.82426108587591
PF,17.68753650817516
PF,16.115846262844922
PF,13.15706590367336
PF,21.47151511019164
PF,25.208534538971534
PF,15.037195188328376
PF,15.558737079327404
G3,15.311615357079152
G3,12.17324004209055
G3,13.404771592617184
G3,13.230357061227448
G3,14.422309552042526
G3,16.408600575481497
G3,14.048548697370624
G3,16.021602210716306
G3,13.076244428798914
G3,14.721156778591487
G3,9.295903703070984
G3,10.810114253080945
G3,15.751009507899903
G3,12.701671322109918
G3,15.275812831639847
G3,15.193157360592217
G3,16.90901348812099
G3,15.786089931287643
G3,16.237380970366544
G3,13.754323072538739
G3,12.463772611561668
G3,12.390570689003539
G3,12.926303331364789
G3,11.514375949171168
G3,12.795624119335212
G3,13.796348086681357
G3,14.553546305632793
G3,13.254440261846472
G3,9.767897694022778
G3,13.840977500093567
G3,14.49576073145988
G3,16.385846308216458
G3,15.271300570354818
G3,12.584166490479879
G3,12.407691567725621
G3,18.423314549226593
G3,15.664603498837916
G3,18.02916761002325
G3,18.684777968683235
G3,12.200215933468135
G3,14.84759246501041
G3,15.007967410641504
G3,15.231146892936149
G3,15.192184895620548
G3,14.444520201205478
G3,14.383084337349478
G3,10.694500129592232
G3,13.636117396994653
G3,12.355236657761427
G3,14.277392072334143
G3,12.971398227860133
G3,15.360745652558474
G3,15.801966561295876
G3,14.679123203018769
G3,14.69556991749495
G3,14.204482706889927
G3,13.014844635483149
G3,13.638097218687903
G3,12.90957866072428
G3,14.853571695120744
组4,16.039517553157523
组4,17.62761535610478
组4,12.27978472752532
组4,18.485780999533638
组4,13.864450536817909
组4,13.944009878443254
组4,15.447159642387133
组4,14.422523154341256
组4,16.815150547395213
组4,14.392338625897885
组4,13.00546285854701
组4,13.631752136538763
组4,19.673553310749035
组4,16.123923320184367
组4,12.730915202155092
组4,16.02345672889678
组4,11.643350038824856
组4,21.010786362322463
组4,11.731461151185261
组4,17.340507573007592
组4,17.522151860079838
组4,11.939978289246518
组4,16.840774251571208
组4,18.792081712464125
组4,17.309210800133194
组4,16.730845567433384
组4,18.657470708090813
组4,16.450532736888256
组4,16.941990806615756
组4,15.645207669844991
组4,17.76905603284333
组4,13.364124387735375
组4,18.216937124847824
组4,14.585155705392161
组4,12.946170555429632
组4,17.022697076161514
组4,20.7402755442662
组4,18.692698992454062
组4,14.556180482712533
组4,17.95456708159613
组4,14.728214464780168
组4,15.65274552281832
组4,16.250679781007815
组4,9.51178899267825
组4,16.536521345254954
组4,13.117094271309583
组4,14.047283882325319
组4,11.871706849981988
组4,11.75363698919063
组4,13.358859677979964
组4,18.31167242683603
组4,20.664915772898013
组4,15.929425710145345
组4,19.057014613977273
组4,15.26085418873969
组4,10.646476090580272
组4,16.419766524860005
组4,17.2478151367992
组4,14.799873646678769
组4,16.846227855796183
G5,13.37413499426237
G5,9.92782183767913
G5,8.455598165845673
G5,11.46899000317917
G5,11.493454703351082
G5,11.153608286747001
G5,14.369392206723278
G5,16.141413094582653
G5,11.000047156838859
G5,13.677328087590604
G5,14.258234671024645
G5,13.711575409016115
G5,14.513967089111286
G5,11.065814471921554
G5,13.775535262831953
G5,16.858756646062773
G5,13.928797342512143
G5,10.512255194599295
G5,13.458509985442905
G5,15.029712700093187
G5,12.885567087335108
G5,10.647838329257144
G5,15.703393399251784
G5,9.000559088248979
G5,13.208220111974224
G5,11.961178621278894
G5,9.135202259573994
G5,14.926679240599077
G5,12.83493022488323
G5,9.199684374962235
G5,13.444148055748423
G5,10.964158970612784
